Model:	LI-7810
SN:	TG10-01286
Software Version:	2.1.41
Timestamp:	2022-09-19 08:17:58
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1663589878	209749937	28	256	""	2022-09-19	08:17:58	nan	nan	nan	101.079	20.2555	101.127	25.6722	0	0	20.2354	-16000	0	24.1637	116
DATA	1663589879	209702014	32	256	""	2022-09-19	08:17:59	nan	nan	nan	101.128	20.2555	101.163	34.948	0	0	20.2354	-16000	0	24.157	243
DATA	1663589880	209660053	36	256	""	2022-09-19	08:18:00	nan	nan	nan	101.13	20.2555	101.164	40.9506	0	0	20.2354	-16000	0	24.1601	  9
DATA	1663589881	209619045	40	256	""	2022-09-19	08:18:01	nan	nan	nan	101.131	20.2555	101.164	45.3458	0	0	20.2354	-16000	0	24.1629	 75
DATA	1663589882	209609031	44	256	""	2022-09-19	08:18:02	nan	nan	nan	101.131	20.2555	101.164	46.0371	0	0	20.2354	-16000	0	24.1668	 70
DATA	1663589883	209609031	48	256	""	2022-09-19	08:18:03	nan	nan	nan	101.131	20.2555	101.164	46.1689	0	0	20.2354	-16000	0	24.1676	 88
DATA	1663589884	209609031	52	256	""	2022-09-19	08:18:04	nan	nan	nan	101.132	20.2555	101.164	46.229	0	0	20.2356	-16000	0	24.1676	 29
DATA	1663589885	209609031	56	256	""	2022-09-19	08:18:05	nan	nan	nan	101.132	20.2555	101.164	46.2644	0	0	20.2361	-16000	0	24.168	 29
DATA	1663589886	209609031	60	256	""	2022-09-19	08:18:06	nan	nan	nan	101.132	20.2555	101.164	46.2873	0	0	20.2361	-16000	0	24.1676	 83
DATA	1663589887	209609031	64	256	""	2022-09-19	08:18:07	nan	nan	nan	101.132	20.2555	101.164	46.3041	0	0	20.2361	-16000	0	24.1641	 69
DATA	1663589888	209609031	68	256	""	2022-09-19	08:18:08	nan	nan	nan	101.131	20.2555	101.164	46.3157	0	0	20.2361	-16000	0	24.1633	 83
DATA	1663589889	209315061	72	256	""	2022-09-19	08:18:09	nan	nan	nan	101.132	20.2555	101.164	46.324	0	0	20.2363	-16000	0	24.1641	 24
DATA	1663589890	209315061	76	256	""	2022-09-19	08:18:10	nan	nan	nan	101.133	20.2555	101.163	46.3307	0	0	20.2368	-16000	0	24.1692	 75
DATA	1663589891	209315061	80	256	""	2022-09-19	08:18:11	nan	nan	nan	101.132	20.2555	101.164	46.3351	0	0	20.2368	-16000	0	24.1692	 71
DATA	1663589892	209315061	84	256	""	2022-09-19	08:18:12	nan	nan	nan	101.133	20.2557	101.164	46.339	0	0	20.2368	-16000	0	24.1692	 35
DATA	1663589893	209315061	88	256	""	2022-09-19	08:18:13	nan	nan	nan	101.134	20.2557	101.164	46.3419	0	0	20.2368	-16000	0	24.1692	 92
DATA	1663589894	209315061	92	256	""	2022-09-19	08:18:14	nan	nan	nan	101.133	20.2561	101.164	46.3443	0	0	20.2368	-16000	0	24.1692	 80
DATA	1663589895	209315061	96	256	""	2022-09-19	08:18:15	nan	nan	nan	101.133	20.2561	101.163	46.3463	0	0	20.2374	-16000	0	24.1688	 89
DATA	1663589896	209315061	100	256	""	2022-09-19	08:18:16	nan	nan	nan	101.133	20.2562	101.164	46.3478	0	0	20.2375	-16000	0	24.1688	134
